"instruction","input","original_single_robot_output","num_subtasks","subtask_1","subtask_1_robot","subtask_1_order","subtask_2","subtask_2_robot","subtask_2_order","subtask_3","subtask_3_robot","subtask_3_order","subtask_4","subtask_4_robot","subtask_4_order"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect a high-rise building’s exterior for damage.","Drone","4","Aerial overview and structural assessment from above","Drone","1","Close-up facade inspection at building level","Drone","2","Ground-level foundation and lower structure inspection","Robot with Legs","2","Data collection and documentation coordination","Humanoid","4"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Traverse a rocky mountain path to deliver a package.","Robot with Legs","4","Scout optimal path and identify obstacles ahead","Robot with Legs","1","Navigate primary route while carrying main payload","Robot with Legs","1","Monitor environmental conditions and safety","Humanoid","1","Provide backup support and emergency assistance","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Check the condition of underwater pipes for any leaks.","Underwater Robot","4","Deep underwater navigation and positioning","Underwater Robot","1","Surface-level coordination and communication relay","Underwater Robot","3","Underwater inspection and data collection","Underwater Robot","4","Emergency backup and safety monitoring","Underwater Robot","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Perform rapid exploration of a vast desert terrain.","Robot with Wheels","4","Aerial survey and mapping of large areas","Drone","1","Ground-level detailed terrain analysis","Robot with Legs","2","Mobile transport and logistics support","Robot with Wheels","3","Environmental monitoring and data collection","Robot with Legs","4"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Navigate a dense urban area filled with pedestrians to perform a delivery.","Humanoid, Robot with Legs","4","Human interaction and social navigation","Humanoid","2","Aerial traffic monitoring and path optimization","Drone","1","Ground-level obstacle avoidance and navigation","Robot with Legs","2","Package transport and delivery coordination","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Survey agricultural fields to assess crop health from above.","Drone","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Carry supplies up a staircase in a damaged building.","Humanoid, Robot with Legs","4","Navigate stairs and vertical transport","Robot with Wheels","2","Coordinate from ground level and provide guidance","Humanoid","1","Monitor structural stability and safety","Robot with Legs","1","Backup transport and emergency assistance","Robot with Wheels","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect the seabed for marine biodiversity monitoring.","Underwater Robot","4","Deep underwater navigation and positioning","Underwater Robot","1","Surface-level coordination and communication relay","Humanoid","3","Underwater inspection and data collection","Underwater Robot","4","Emergency backup and safety monitoring","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Map a forested region for environmental research.","Drone, Robot with Legs","4","Aerial reconnaissance and path finding","Drone","1","Ground navigation through dense vegetation","Robot with Legs","2","Environmental monitoring and wildlife detection","Humanoid","1","Emergency extraction and backup support","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Transport equipment through a crowded industrial warehouse.","Robot with Wheels","4","Heavy lifting and primary transport","Robot with Wheels","2","Inventory management and tracking","Robot with Wheels","1","Route optimization and traffic control","Robot with Wheels","1","Quality control and verification","Robot with Wheels","3"
